DATASET                                                                                ACTIVE           ROWS  DESCRIPTION
signs-third-party-sign-inventory                                                       yes               n/a  See Toronto Building - Third Party Sign Inventory by Ward Readme.xls Provides information on the location and owner of all third-party advertising signs in t...
site-and-area-specific-policies                                                        yes               868  Site and Area Specific Policies have been completed to reflect the December 2025 Official Plan Consolidation. **Note**: The Site Area and Specific Policies s...
small-business-property-tax-subclass-eligible-properties                               yes            28,222  On November 9, 2021, City Council approved a 15 per cent reduction in the tax rate for small businesses who meet the eligibility criteria for the new small b...
social-housing-unit-density-by-neighbourhoods                                          yes               n/a  This dataset contains unit density profiles of Social Housing in the City of Toronto for the 140 neighbourhoods that make up the City of Toronto. For Referen...
social-housing-wait-list-rent-bank-loans-granted-and-shelter-use-summary               yes               n/a  See "SSHA Social Housing Summary Readme" File Number of people in Toronto on the wait list for social housing, number of rent bank loans granted and shelter ...
solarto                                                                                yes           604,382  The City of Toronto’s SolarTO Map was created through a Geographic Information Systems (GIS) analysis of Light Detection and Ranging (LiDAR) data. The softwa...
solid-waste-daytime-curbside-collection-areas                                          yes               n/a  See Readme file This file is best utilized when overlaid with the districts polygon file (Solid Waste Management Districts) and the street line (Toronto Cent...
solid-waste-in-park-assets                                                             yes               n/a  Locations and attributes of physical assets, which are owned, serviced, or both, by Solid Waste Management Services in City of Toronto parks. Due to construc...
solid-waste-management-districts                                                       yes               n/a  The Harmonized Waste Collection Area layer covers the entire City of Toronto. These boundaries are used for management purposes of daytime collection routes....
solid-waste-management-services-transfer-station-locations                             yes               n/a  **FID -** system field, record identifier **SHAPE -** system field, file type indentifier **ADDRESS -** street address of transfer station **NAME -** name of...
solid-waste-pickup-schedule                                                            yes             5,581  This dataset contains the schedules for Organics (Green Bin), Garbage, Recycling (Blue Bin), Yard Waste and Christmas Trees for single-family residential hou...
solid-waste-recycled-material-sales-revenue                                            yes               n/a  See "SWM Recycled Material Sales Revenue Readme" File Revenue from the sale of recycled materials through Solid Waste Management Services per month beginning...
special-committee-on-governance-consultation-with-neighbourhood-associations-workshop  yes               n/a  At their meeting on April 12, 2019, the Special Committee on Governance asked staff to provide targeted engagement opportunities for neighbourhood associatio...
specialized-patient-transports-by-paramedics                                           yes               n/a  This dataset provides the number of patients suffering from stroke, STEMI (a type of heart attack) and trauma that were transported by Toronto Paramedic Serv...
sports-recreation-program-enrollment-drop-in-usage-and-permit-activity-summary         yes               n/a  **This dataset has been retired and will not be updated. Please see [Toronto's Dashboard Key Indicators](https://open.toronto.ca/dataset/toronto-s-dashboard-...
stillbirth-registration-statistics                                                     yes               160  This dataset includes information about registration of stillbirths documented by Registry Services at the Etobicoke Civic Centre. Registration of stillbirth...
street-furniture-bench                                                                 yes             2,253  The City of Toronto entered into a 20-year contractual agreement with Astral Out-of-Home in 2007 for the installation and maintenance of up to 25,000 street ...
street-furniture-bicycle-parking                                                       yes            17,137  The City installs and maintains bicycle post-and-rings within the public right-of-way, typically on City of Toronto sidewalks and boulevards, wherever public...
street-furniture-information-pillar-wayfinding-structure                               yes               421  The City of Toronto entered into a 20-year contractual agreement with Astral Out-of-Home in 2007 for the installation and maintenance of up to 25,000 street ...
street-furniture-litter-receptacle                                                     yes            10,457  The City of Toronto entered into a 20-year contractual agreement with Astral Out-of-Home in 2007 for the installation and maintenance of up to 25,000 street ...
street-furniture-poster-board                                                          yes             1,662  The City of Toronto entered into a 20-year contractual agreement with Astral Out-of-Home in 2007 for the installation and maintenance of up to 25,000 street ...
street-furniture-poster-structure                                                      yes               834  The City of Toronto entered into a 20-year contractual agreement with Astral Out-of-Home in 2007 for the installation and maintenance of up to 25,000 street ...
street-furniture-public-washroom                                                       yes                 4  Toronto’s automated public toilets were first introduced in 2008. The automated public toilet is activated by inserting a $0.25 coin or token. Each unit is s...
street-furniture-publication-structure                                                 yes               763  The City of Toronto entered into a 20-year contractual agreement with Astral Out-of-Home in 2007 for the installation and maintenance of up to 25,000 street ...
street-furniture-transit-shelter                                                       yes             5,752  The City of Toronto entered into a 20-year contractual agreement with Astral Out-of-Home in 2007 for the installation and maintenance of up to 25,000 street ...
street-tree-data                                                                       yes           688,364  This data primarily pertains to City-owned trees located on road allowances across Toronto. The intent of the database is to provide an inventory of City own...
strollto                                                                               yes             2,002  This dataset list points of interest associated with each of Toronto’s 158 neighbourhoods as compiled by the Visitor Economy Office. The self-guided itinerar...
subsidized-housing-listings                                                            yes             2,280  The Subsidized Housing Listings dataset represents the portfolio of subsidized buildings in the City of Toronto that use the Centralized Waiting List (CWL) t...
supportive-housing-locations-city-operated                                             yes               n/a  See "Supportive Housing Locations Readme" file This data set contains the locations of City operated supportive housing locations within Toronto. The data wa...
surface-routes-and-schedules-for-bustime                                               yes               n/a  The TTC may provide additional updates as required to address service impacts and/or changes. Data contains scheduling information (route definitions, stop p...
swimsafe                                                                               yes            14,778  The City of Toronto’s SwimSafe dataset offers a comprehensive look at the health and safety standards maintained across the city's diverse aquatic environmen...
tax-rebates-tax-exemptions                                                             yes               n/a  This data is retired and will no longer be updated. For more information, please see [here](https://www.toronto.ca/services-payments/property-taxes-utilities...
taxicab-stand-locations                                                                yes               n/a  See Readme in Shapefile and Attrbutes in Excel The taxicab stand locations were verified by Municipal Licensing and Standards Officers. These stands are loca...
tcdsb-schools                                                                          yes               210  This dataset is retired, as its contents are contained by this other, more complete [School Locations dataset](https://open.toronto.ca/dataset/school-locatio...
temporary-extension-and-special-occasion-permit-endorsements-for-liquor-licences       yes             4,418  All temporary liquor licence applications that have been endorsed as municipally significant by the City of Toronto are shown on the map below. Search the re...
tenant-notification-for-rent-reduction                                                 yes         1,449,927  See attached for readme file. The Residential Tenancies Act (RTA) allows residential tenants to reduce their rents when the rental properties in which they l...
tennis-courts-facilities                                                               yes               173  This dataset includes data on tennis court locations that belong to the City of Toronto. Some locations are public, others are 'clubs' (these sites are opera...
theft-from-motor-vehicle                                                               yes           106,574  This dataset includes all Theft from Motor Vehicle occurrences by reported date and related offences since 2014. The Theft from Motor Vehicle offences includ...
tobids-all-open-solicitations                                                          yes               907  The Solicitations for the Purchase of Goods and Services dataset contains a list and summary of information about competitive solicitations for the City of T...
tobids-awarded-contracts                                                               yes             7,517  The Competitive Contracts dataset contains a list and summary of information about competitive contract that have been cancelled or awarded for goods and var...
tobids-non-competitive-contracts                                                       yes             2,881  The Non-Competitive Contracts dataset contains a list of non-competitive contracts processed by the Purchasing and Materials Management Division on behalf of...
topographic-mapping-building-outlines                                                  yes           557,694  Polygon layer representing the physical area of buildings. Building polygon collection is split into two “classes”. - Simple buildings are buildings which ar...
topographic-mapping-edge-of-road                                                       yes            57,377  Polygon layer representing the physical area of the City’s street system. Part of the City’s topographic mapping products, the data is collected from high re...
topographic-mapping-impermeable-surface                                                yes               n/a  - The Impermeable Surface dataset is a 1-bit raster indicating mainly artificial structures o Pixel values of 0 indicate impermeable land o Pixel values of 1...
topographic-mapping-physical-area-of-parking-lots                                      yes            19,445  Polygon layer representing the physical area of parking lots. Part of the City’s topographic mapping products, the data is collected from high resolution aer...
topographic-mapping-physical-area-of-sidewalks                                         yes            14,116  Polygon layer representing the physical area of sidewalks. Part of the City’s topographic mapping products, the data is collected from high resolution aerial...
topographic-mapping-physical-location-of-trees                                         yes               n/a  Point layer representing the physical location of trees. Part of the City’s topographic mapping products, the data is collected from high resolution aerial p...
topographic-mapping-poles                                                              yes           305,237  Topographic mapping includes features that are visible on the ground (planimetric), or can be derived from photogrammetric measurements. The pole dataset is ...
topographic-mapping-railway                                                            yes             7,508  Polyline layer representing aboveground railway tracks. Part of the City’s topographic mapping products, the data is collected from high resolution aerial ph...
topographic-mapping-treed-area                                                         yes               n/a  Polygon layer representing the physical area of trees. Part of the City’s topographic mapping products, the data is collected from high resolution aerial pho...
topographic-mapping-water-line                                                         yes               470  Line layer representing small waterways. These are for any waterways too narrow to accurately determine both banks of the waterway. For any waterway wide eno...
topographic-mapping-waterbodies-and-rivers                                             yes               409  Polygon layer representing the physical area of waterbodies and rivers. Some features contain an attribute defining their name. Names are defined from the On...
topographic-mapping-waterbodies-rivers                                                 yes               n/a  Polygon layer representing the physical area of waterbodies and rivers. Some features contain an attribute defining their name. Names are defined from the On...
toronto-animal-services-service-requests-complaints                                    yes           175,405  The data includes all service requests related to animals that responded to by Toronto Animal Services Mobile Response Unit. These requests include responses...
toronto-beaches-observations                                                           yes            19,130  Observations made daily by city staff on Toronto's beaches. Where appropriate, instrumentation such as thermometer or turbidity meters is used to obtain this...
toronto-beaches-water-quality                                                          yes           108,284  The Beach Water Sampling Program for the City of Toronto is a co-operative effort between Toronto Public Health, Toronto Water, the Marine Police Unit, Parks...
toronto-centreline-tcl                                                                 yes            64,441  The Toronto Centreline is a data set of linear features representing streets, walkways, rivers, railways, highways and administrative boundaries within the C...
toronto-community-housing-data                                                         yes             2,071  This is Toronto Community Housing data covering developments and buildings larger than 5 units with descriptions located within the City of Toronto. Building...
toronto-district-school-board-locations                                                yes               585  This dataset is retired, as its contents are contained by this other, more complete [School Locations dataset](https://open.toronto.ca/dataset/school-locatio...
toronto-economic-bulletin                                                              yes               n/a  The Toronto Economic Bulletin provides a monthly snapshot of the city/regional economy. It contains data on labour market information, GDP estimates, real es...
toronto-employment-survey-summary-tables                                               yes               n/a  The Toronto Employment Survey Bulletin summarizes the highlights of the field survey by City Planning. Surveyors visit all businesses in the city to collect ...
toronto-fire-services-run-areas                                                        yes                84  A run area is a geographical area in proximity to a fire station that is normally served by the personnel and apparatus from that facility in the event of a ...
toronto-island-ferry-ticket-counts                                                     yes           272,263  Ferries to [Toronto Island Park](https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/toronto-island-park) operate year-round out of Jack Layton Ferry ...
toronto-office-of-recovery-and-rebuild-group-discussion-vulnerable-populations         yes               n/a  From June 24 to July 24, 2020, the City of Toronto contracted Social Planning Toronto (a local non-governmental organization) to conduct additional outreach ...
toronto-office-of-recovery-and-rebuild-public-survey-results                           yes               n/a  While the City continues to work on reducing the spread of COVID-19 and ensuring the delivery of essential and critical City services, it is also working to ...
toronto-office-of-recovery-and-rebuild-story-form-vulnerable-populations               yes               n/a  From June 24 to July 24, 2020, the City of Toronto contracted Social Planning Toronto (a local non-governmental organization) to conduct additional outreach ...
toronto-office-of-recovery-and-rebuild-survey-for-individuals-vulnerable-populations   yes               n/a  From June 24 to July 24, 2020, the City of Toronto contracted Social Planning Toronto (a local non-governmental organization) to conduct additional outreach ...
toronto-police-budget                                                                  yes            62,197  This dataset includes a line-by-line breakdown of the Toronto Police Service’s approved budget and actual expenditures at a Service-wide level. Approved budg...
toronto-police-budget-by-command                                                       yes             1,161  This dataset includes a summarized breakdown of the Toronto Police Service approved budget and actual expenditures by command at a Service-wide level. Approv...
toronto-police-staffing-by-command                                                     yes               307  This datasets includes the Toronto Police Service’s approved and actual staffing level summarized by command.
toronto-population-health-status-indicators                                            yes               n/a  Population Health Status Indicators (PHSIs) summarize data used to measure health outcomes and behaviours at a population level. They provide an overview of ...
toronto-public-library-branch-locations                                                yes               n/a  This dataset is retired. More up to date information on this subject can be found on this [newer open data page](https://open.toronto.ca/dataset/library-bran...
toronto-raccoon-activity-index                                                         yes               n/a  Raccoons (Procyon lotor) are a prominent feature of Toronto's urban environment, active across all 25 wards year-round. This dataset provides on quarter of p...
toronto-s-dashboard-key-indicators                                                     yes             8,797  Key indicator data from City of Toronto divisions and agencies are shared with the City Manager's Office and made available through the [Toronto's Dashboard ...
toronto-shelter-system-flow                                                            yes               764  The City of Toronto funds and operates services dedicated to people experiencing homelessness in Toronto. The overnight services, including emergency shelter...
toronto-signature-sites                                                                yes               118  This dataset provides a collection of large industrial & commercial properties for sale or lease in Toronto. Signature Sites is a listing of select industria...
tps-operating-budget                                                                   yes               n/a  **This dataset is retired. Please see [Toronto Police Budget](https://open.toronto.ca/dataset/toronto-police-budget/) for a more updated dataset.** In respon...
tps-police-divisions                                                                   yes                19  This dataset has been retired. Please view [https://open.toronto.ca/dataset/police-boundaries/](https://open.toronto.ca/dataset/police-boundaries/) instead. ...
traffic-and-parking-by-law-schedules                                                   yes            76,849  Traffic and parking by-law data from 44 Schedules to City of Toronto Municipal Code Chapter 950, Traffic and Parking, including "No Parking", "No Stopping", ...
traffic-calming-database                                                               yes             1,225  The Vision Zero Project Unit within Transportation Services maintains a database that tracks existing locations with installed traffic calming measures. Thes...
traffic-cameras                                                                        yes               336  The Traffic Camera dataset contains the location and number for every Traffic camera in the City of Toronto. These datasets will be updated within 2 minutes ...
traffic-control-devices                                                                yes               140  The Traffic Systems Delivery (TSD) map tracks Traffic Control Devices (TCDs) that are upcoming or recently activated. Currently TSD has data available for th...
traffic-counts-cycling                                                                 yes               n/a  The City of Toronto's Transportation Services Division collects traffic volume data across the city from a variety of sources for a number of purposes. This ...
traffic-signal-timing                                                                  yes               n/a  This dataset contains traffic signal phasing and interval sequences that were in effect for the past seven days at approximately 2300 traffic signals that op...
traffic-signal-vehicle-and-pedestrian-volumes                                          yes               n/a  This dataset contains the most recent 8 peak hour vehicle and pedestrian volume counts collected at intersections where there are traffic signals. The data i...
traffic-signals-tabular                                                                yes               858  Please see "Traffic Signal Tabular Readme" for more info This dataset contains all the locations of the traffic signals in the City of Toronto with their ope...
traffic-volumes-at-intersections-for-all-modes                                         yes         1,120,684  The City of Toronto's Transportation Services Division collects short-term traffic count data across the City on an ad-hoc basis to support a variety of safe...
traffic-volumes-midblock-vehicle-speed-volume-and-classification-counts                yes            59,098  The City of Toronto's Transportation Services Division collects short-term traffic count data across the City on an ad-hoc basis to support a variety of safe...
transformto-community-feedback                                                         yes               n/a  From August 2015 to July 2016, TransformTO's first phase of engagement encouraged residents to contribute their ideas to a shared vision of a low-carbon Toro...
transformto-net-zero-strategy-public-consultation-resident-survey                      yes               n/a  In response to City Council’s climate emergency declaration in 2019, the City is updating its TransformTO climate action strategy to meet an accelerated gree...
transit-oriented-communities                                                           yes                74  This dataset provides a spatial representation of Transit‑Oriented Community (TOC) sites across the City of Toronto. The map identifies publicly owned lands ...
transport-bus-initiative-usage                                                         yes               152  This data set provides daily data about use of the TTC’s Transport Bus Initiative. This initiative was implemented from November 2023 to April 2024 in respon...
transportation-division-bridge-data                                                    yes               n/a  **This data set is retired. A new data set replaces at: [Bridge Structure](https://open.toronto.ca/dataset/bridge-structure/)** The 'STRUCTURE' dataset conta...
transportation-innovation-zones-stakeholder-workshops-results                          yes               472  The City of Toronto hosted four online workshops in mid-September 2020 to gather feedback and recommendations from stakeholders on a proposed Transportation ...
travel-times-bluetooth                                                                 yes               n/a  The City of Toronto collects travel time data from Bluetooth and WiFi sensors on streets and highways across the City. Travel times are derived from individu...
triangular-irregular-network-tin                                                       yes               n/a  Triangular Irregular Network (TIN) polygon elevation data. This TIN was derived from a 2023 LiDAR-derived 2.5 metre resolution bare-earth elevation source da...
ttc-annual-passenger-rides-non-peak-000s                                               yes               n/a  See "TTC - Annual Passenger Rides Non-Peak Readme" File The Toronto Transit Commission (TTC) tracks the number of riders on its system along with the revenue...
ttc-annual-passenger-rides-peak-000s                                                   yes               n/a  **This data set is no longer maintained. You will find the new data [here](https://open.toronto.ca/dataset/toronto-s-dashboard-key-indicators/).** See "TTC A...
ttc-average-weekday-ridership                                                          yes               n/a  **This data set is no longer maintained. You will find the new data [here](https://open.toronto.ca/dataset/toronto-s-dashboard-key-indicators/).** See "TTC -...
ttc-bus-delay-data                                                                     yes            84,191  TTC Bus Delay Data
ttc-bustime-real-time-next-vehicle-arrival-nvas                                        yes               n/a  This NVAS feed provides improved real-time next vehicle arrival predictions based scheduled and unscheduled route information on the recently installed TTC B...
ttc-gtfs-realtime-gtfs-rt                                                              yes               n/a  This GTFS-RT feed provides improved real-time service disruptions information. The new feed has the following information: * Subway, Streetcar, and Bus Alert...
ttc-lrt-delay-data                                                                     yes             2,462  Timing, location, and cause of TTC LRT delays
ttc-monthly-ridership                                                                  yes               n/a  **This data set is no longer maintained. You will find the new data [here](https://open.toronto.ca/dataset/toronto-s-dashboard-key-indicators/).** See "TTC -...
ttc-real-time-next-vehicle-arrival-nvas                                                yes               n/a  **Service Decommission Notice – Effective November 30, 2025** Please be advised that this catalogue as well as the associated XML feed service currently acce...
ttc-ridership-all-day-weekday-for-surface-routes                                       yes               n/a  This dataset lists typical all day and peak hour weekday ridership for each TTC surface route based on the latest available ridership counts. **Attributes:**...
ttc-ridership-analysis                                                                 yes               n/a  This dataset measures first point of payment when boarding at the start of a journey using the TTC. **Attributes:** **Name** | **Description ** | **Comments*...
ttc-ridership-revenues                                                                 yes               n/a  **This data set is no longer maintained. You will find the new data [here](https://open.toronto.ca/dataset/toronto-s-dashboard-key-indicators/).** See "TTC R...
ttc-ridership-subway-scarborough-rt-station-usage                                      yes               n/a  This dataset lists typical subway station/SRT usage by station name (to and from platform). **Attributes:** **Name** | **Description** | **Example** ---|---|...
ttc-routes-and-schedules                                                               yes               n/a  __The TTC may provide additional updates as required to address service impacts related to the global pandemic.__ Data contains scheduling information (route...
ttc-streetcar-delay-data                                                               yes            19,530  TTC Streetcar Delay Data
ttc-subway-delay-data                                                                  yes            35,525  TTC Subway & SRT Train Service Delay Data
ttc-subway-shapefiles                                                                  yes               n/a  This dataset contains separate shape files for the four major TTC routes (lines), as well as a consolidated shape file for all four routes.
turn-restrictions                                                                      yes               n/a  This dataset has been retired. There is no update to this dataset since the retirement of the data in 2018. There is no replacement file available.
unclaimed-deposits                                                                     yes               n/a  Unclaimed deposits collected as security to protect City property (e.g. road construction, renovations, street events). The City collects these deposits and ...
upcoming-and-recently-completed-affordable-housing-units                               yes               257  This dataset tracks rent-controlled market homes, affordable rental homes, and Rent-Geared-to-Income (RGI) homes approved in Toronto. These units contribute ...
utility-cut-permits                                                                    yes            87,880  The addresses and intersections provided in the file are references to the approximate locations of the Utility Cuts and do not represent the actual / specif...
vehicles-utilizing-green-technology                                                    yes               n/a  List of all the green vehicles managed by Fleet Services. The list provides information on vehicle make, model and model year, and the division or agency usi...
ward-profiles-2014-2018-wards                                                          yes               n/a  The 2016 and 2011 Ward Profiles (2014-2018 Wards) and Community Council Area Profiles are available from City Planning through the online Toronto Data, Resea...
ward-profiles-2018-47-ward-model                                                       yes               n/a  The [2016 Ward Profiles for the 2018 City Wards](https://www.toronto.ca/city-government/data-research-maps/neighbourhoods-communities/ward-profiles/ward-prof...
ward-profiles-25-ward-model                                                            yes               n/a  The 2021 Ward Profiles based on the 25-Ward model (effective December 1, 2018) are available from City Planning. These workbooks contain the data the Profile...
wards-and-elected-councillors                                                          yes                25  This dataset contains a map file for wards and councilors elected of City of Toronto Council.
washroom-facilities                                                                    yes               356  This dataset includes data on washroom facilities operated by the City of Toronto Parks and Recreation division. These facilities include: washroom buildings...
waste-wizard-lookup-table                                                              yes               n/a  This data is from the City of Toronto’s Waste Wizard tool, which is available on [toronto.ca/wastewizard](toronto.ca/wastewizard) and the [TOwaste app](https...
water-billing-by-ward                                                                  yes               n/a  The annual amount of water billed in each ward is reported as well as the number of water accounts, both residential and commercial. N.B. One cubic metre of ...
water-fittings                                                                         yes            12,752  This dataset provides pertinent information on the general location of water system fittings (e.g. Tee, reducer, cap etc.). The data is updated on a continua...
water-hydrants                                                                         yes            42,475  This dataset provides pertinent information on the general location of water system hydrants, including their ownership and management groups. The data is up...
water-pressure-districts                                                               yes                14  This dataset provides pertinent information on the delineation of water system pressure districts. The data is updated on a continual daily basis. The data i...
water-valves                                                                           yes            71,646  This dataset provides pertinent information on the general location of water system valves and valve characteristics (e.g. diameter, type of valve etc.). The...
watermain-breaks                                                                       yes               n/a  BREAK_DATE - Date of watermain break reported BREAK_YEAR - Year of watermain break reported XCOORD - Easting in MTM NAD 27(3 degree) Projection & Lat and Lon...
watermains                                                                             yes            49,217  This dataset provides pertinent information on the location of water system pipes, watermain type based on function, and pipe characteristics (e.g. diameter,...
web-analytics                                                                          yes               n/a  See Readme File This dataset contains web analytics (statistics) capturing visitors' usage of internet web pages published on the City of Toronto website tor...
web-map-services                                                                       yes               n/a  The following published OGC compliant WMTS services facilitate access to live geospatial data from the City of Toronto. All WMTS services are in Web Mercator...
wellbeing-toronto-aboriginal-service-organizations                                     yes               n/a  A spatial point file, to illustrate the location of services, provided by Aboriginal Organizations within the boundaries of the City of Toronto
wellbeing-toronto-civics-equity-indicators                                             yes               n/a  This dataset contains Civics and Equity indicators which include information about the diversity index, City grants funding, Salvation Army donors, City Beau...
wellbeing-toronto-culture                                                              yes               n/a  For Reference Period 2008: Martin Prosperity Institute, Year 2010 data. The Cultural Location Index (CLI) is an economic indicator that shows the intersectio...
wellbeing-toronto-demographics                                                         yes               n/a  **Demographics (2006 and 2011 Census Data)** This dataset contains three worksheets. The full description for each column of data is available in the first w...
wellbeing-toronto-demographics-nhs-indicators                                          yes               n/a  This data set shows the following indicators: population breakdown by ethnicity, household income, education level, employment, age and sex. Data is broken d...
wellbeing-toronto-demographics-taxfiler-indicators                                     yes               n/a  This data set contains three worksheets. The full description for each column of data is available in the first worksheet called "Legend". Caveat Emptor: Dis...
wellbeing-toronto-economics                                                            yes               n/a  This dataset contains three worksheets. The full description for each column of data is available in the first worksheet called "IndicatorMetaData". The data...
wellbeing-toronto-education                                                            yes               n/a  This dataset contains three worksheets. The full description for each column of data in worksheets two and three is available in the first worksheet called "...
wellbeing-toronto-environment                                                          yes               n/a  This dataset contains three worksheets. The full description for each column of data in worksheets two and three is available in the first worksheet called "...
wellbeing-toronto-health                                                               yes               n/a  This dataset contains and number of health indicators by neighbourhood. The full description for each health indicator is noticed in Worksheet 1 called Indic...
wellbeing-toronto-housing                                                              yes               n/a  This dataset contains three worksheets. The full description for each column of data is available in the first worksheet called "IndicatorMetaData". The data...
wellbeing-toronto-recreation                                                           yes               n/a  This dataset contains information about recreation programs, registration, various types of facilities and permits.
wellbeing-toronto-safety                                                               yes               n/a  This dataset contains three worksheets. The full description for each column of data in worksheets two and three is available in the first worksheet called "...
wellbeing-toronto-transportation                                                       yes               n/a  This dataset contains three worksheets. The full description for each column of data is available in the first worksheet. The 2008 data is contained in works...
wellbeing-toronto-youth-services                                                       yes               n/a  This dataset contains an Excel spreadsheet and ESRI shapefiles relating to youth services available in the City of Toronto. This data has been selected by th...
wellbeing-youth-aboriginal-youth-services                                              yes                 8  Programs and services focused on the needs of youth in the First Nations, Inuit and Metis communities. Taxonomoy-based search of 211Toronto's database. For a...
wellbeing-youth-adult-education-upgrading                                              yes                78  Educational programs to help you gain entry into apprenticeships and post-secondary programs or to increase your employment prospects. Taxonomoy-based search...
wellbeing-youth-affordable-housing-access                                              yes                 2  Includes access to subsidized or rent-geared-to-income housing and supportive housing. Taxonomoy-based search of 211Toronto's database. For additional inform...
wellbeing-youth-alternative-adult-education                                            yes                16  Information on alternative schools and adult learning centres. Also includes school boards and colleges and universities. Taxonomoy-based search of 211Toront...
wellbeing-youth-concurrent-disorder-programs                                           yes                26  Support services for youth struggling with any combination of mental health and substance use difficulties. Taxonomoy-based search of 211Toronto's database. ...
wellbeing-youth-disability-supports-services                                           yes               166  Youth-specific programs and services for those with physical and developmental disabilities. Includes health services and supports, legal and financial progr...
wellbeing-youth-educational-support                                                    yes                96  Services that support students’ capacity to pursue educational and training programs, including academic counselling, tutoring, bridging programs, and financ...
wellbeing-youth-employment-resources                                                   yes               194  Programs and resources for youth and young adults seeking employment, such as Employment Ontario programs, business and entrepreneurship assistance, apprenti...
wellbeing-youth-financial-services                                                     yes                21  Government programs that provide a source of income and access to services for families and individuals (including newcomers) who have no other adequate sour...
wellbeing-youth-health-services                                                        yes                68  Includes health crisis and general information services, hospitals and emergency rooms, community health centres, and dental programs. Taxonomoy-based search...
wellbeing-youth-housing-eviction-help                                                  yes                30  Includes access to emergency shelters, Toronto Rent Bank, Landlord and Tenant Board, housing help centres, and other mediation services and services that can...
wellbeing-youth-legal-justice-support                                                  yes                51  Programs and resources to assist youth in accessing or upholding their rights, including services for youth involved with the justice system. Includes genera...
wellbeing-youth-legal-support-advocacy                                                 yes                11  Other community services offering legal/paralegal support and advocacy. Taxonomoy-based search of 211Toronto's database. For additional information and for t...
wellbeing-youth-lgbtq-resources                                                        yes                 7  Programs for youth who are lesbian, gay, bisexual, transsexual, transgendered, queer, questioning or Two-Spirited. Taxonomoy-based search of 211Toronto's dat...
wellbeing-youth-life-skills-training                                                   yes               119  Programs that empower participants and help them acquire skills to deal with everyday life, including problem solving, conflict resolution, leadership, and f...
wellbeing-youth-mental-health                                                          yes                99  Listings for crisis lines, general information, case management and support services. Also includes support services for youth and families caring for a love...
wellbeing-youth-newcomer-settlement-services                                           yes                52  Services and programs serving the specific needs of immigrant and refugee youth. Taxonomoy-based search of 211Toronto's database. For additional information ...
wellbeing-youth-parenting-programs                                                     yes                47  Includes prenatal and postnatal care, education, residential, counselling and parenting support and services for pregnant youth and young parents. Also liste...
wellbeing-youth-recreation                                                             yes               152  Cultural, arts, sports, and recreation programs geared to youth and young adults, including drop-in programs and independent community centres. (Does not inc...
wellbeing-youth-refugee-housing                                                        yes                 6  Agencies that offer safe shelter and transitional housing programs to assist refugee claimants 16+ with their integration into Canadian society. Taxonomoy-ba...
wellbeing-youth-sexual-health-services                                                 yes                35  Information about sexual health support services, sexual assault care and general information lines that offer confidential and anonymous sexual health infor...
wellbeing-youth-substance-use-treatment                                                yes                56  Crisis services and support programs for youth dealing with substance use and addiction issues. Includes information and referral, 12-step support groups, co...
wellbeing-youth-transitional-housing                                                   yes                13  Housing for homeless youth and youth coming out of unstable housing situations. Taxonomoy-based search of 211Toronto's database. For additional information a...
woodbine-racetrack-casino-consultation-2015                                            yes               n/a  The City Manager conducted a public consultation in May 2015 to seek input from Torontonians on the matter of expanded gaming at Woodbine Racetrack. This dat...
z39-50-library-catalogue                                                               yes               n/a  Z39.50 provides real-time library catalogue access. It is an international standard client-server, application layer communications protocol for searching an...
zoning-by-law                                                                          yes            26,876  Zoning By-law 569-2013 has been updated to include amendments up to June 18th, 2023. This dataset also contains static shapefiles that are part of the Zoning...
